Chromosome	tid	Strand	start_codon	ORF_start	ORF_end	ORF_length	Start	End	ORF_type
Chr1	AT1G02816.1	+	ATG	184	685	501	621636	622137	mORF
Chr1	AT1G02840.1	+	ATG	195	1107	912	626917	629583	mORF
Chr1	AT1G02840.2	+	ATG	54	912	858	626917	628995	mORF
Chr1	AT1G02840.3	+	ATG	149	968	819	626917	628798	mORF
Chr1	AT1G02840.4	+	ATG	151	970	819	626917	628798	mORF
Chr1	AT1G02840.5	+	ATG	89	908	819	626917	628798	mORF
Chr1	AT1G02850.1	+	ATG	195	1608	1413	630568	633085	mORF
Chr1	AT1G02850.2	+	ATG	195	1689	1494	630568	633085	mORF
Chr1	AT1G02850.3	+	ATG	195	1503	1308	630568	632653	mORF
Chr1	AT1G02850.4	+	ATG	64	1630	1566	630568	633085	mORF
Chr1	AT1G02850.5	+	ATG	195	1758	1563	630568	633085	mORF
Chr1	AT1G02860.1	+	ATG	330	1338	1008	635473	637083	mORF
Chr1	AT1G02860.2	+	ATG	330	1332	1002	635473	637083	mORF
Chr1	AT1G02860.3	+	ATG	330	1065	735	635473	636389	mORF
Chr1	AT1G02970.1	+	ATG	102	1605	1503	673407	676127	mORF
Chr1	AT1G02980.1	+	ATG	93	2322	2229	677868	681212	mORF
Chr1	AT1G02980.2	+	ATG	0	2229	2229	677868	681212	mORF
Chr1	AT1G03010.1	+	ATG	290	2195	1905	693479	696188	mORF
Chr1	AT1G03010.2	+	ATG	94	1918	1824	694027	696188	mORF
Chr1	AT1G03010.3	+	ATG	40	1942	1902	694027	696188	mORF
Chr1	AT1G03030.1	+	ATG	256	1162	906	701620	703568	mORF
Chr1	AT1G03030.2	+	ATG	158	1043	885	701620	703447	mORF
Chr1	AT1G03050.1	+	ATG	241	2041	1800	707725	709860	mORF
Chr1	AT1G03070.1	+	ATG	202	946	744	730147	731379	mORF
Chr1	AT1G03070.2	+	ATG	235	979	744	730147	731379	mORF
Chr1	AT1G03070.3	+	ATG	318	1062	744	730147	731379	mORF
Chr1	AT1G03090.1	+	ATG	37	2182	2145	739714	743819	mORF
Chr1	AT1G03090.2	+	ATG	171	2376	2205	739714	743819	mORF
Chr1	AT1G03103.1	+	ATG	22	538	516	747218	747955	mORF
Chr1	AT1G03110.1	+	ATG	113	1397	1284	749358	751796	mORF
Chr1	AT1G03120.1	+	ATG	80	629	549	752270	753140	mORF
Chr1	AT1G03120.2	+	ATG	47	455	408	752270	752678	mORF
Chr1	AT1G03150.1	+	ATG	47	572	525	756460	758441	mORF
Chr1	AT1G03160.1	+	ATG	60	2799	2739	761320	766053	mORF
Chr1	AT1G03160.2	+	ATG	39	2262	2223	761320	765091	mORF
Chr1	AT1G03160.3	+	ATG	60	2139	2079	761320	765047	mORF
Chr1	AT1G03160.4	+	ATG	39	2691	2652	761320	766053	mORF
Chr1	AT1G03165.1	+	ATG	27	228	201	766362	767324	mORF
Chr1	AT1G03170.1	+	ATG	1429	2152	723	769804	770527	mORF
Chr1	AT1G03180.1	+	ATG	185	983	798	773542	775179	mORF
Chr1	AT1G03180.2	+	ATG	628	1384	756	773988	775179	mORF
Chr1	AT1G03180.3	+	ATG	854	1394	540	774281	775179	mORF
Chr1	AT1G03180.4	+	ATG	431	971	540	774281	775179	mORF
Chr1	AT1G03180.5	+	ATG	81	879	798	773542	775179	mORF
Chr1	AT1G03180.6	+	ATG	374	914	540	774281	775179	mORF
Chr1	AT1G03190.1	+	ATG	137	2414	2277	775821	779863	mORF
Chr1	AT1G03190.2	+	ATG	200	2477	2277	775821	779863	mORF
Chr1	AT1G03200.1	+	ATG	236	362	126	780754	781124	mORF
Chr1	AT1G03210.1	+	ATG	44	905	861	782947	784240	mORF
Chr1	AT1G03210.2	+	ATG	44	989	945	782947	784240	mORF
Chr1	AT1G03220.1	+	ATG	311	1613	1302	787142	788444	mORF
Chr1	AT1G03230.1	+	ATG	290	1595	1305	790109	791414	mORF
Chr1	AT1G03270.1	+	ATG	76	1576	1500	799190	802436	mORF
Chr1	AT1G03280.1	+	ATG	218	1658	1440	803634	806758	mORF
Chr1	AT1G03280.2	+	ATG	564	2004	1440	803634	806758	mORF
Chr1	AT1G03280.3	+	ATG	200	1640	1440	803634	806758	mORF
Chr1	AT1G03290.1	+	ATG	134	1850	1716	807969	810680	mORF
Chr1	AT1G03290.2	+	ATG	290	2006	1716	807969	810680	mORF
Chr1	AT1G03290.3	+	ATG	594	2310	1716	807969	810680	mORF
Chr1	AT1G03290.4	+	ATG	191	1907	1716	807969	810680	mORF
Chr1	AT1G03290.5	+	ATG	255	1881	1626	807969	810680	mORF
Chr1	AT1G03290.6	+	ATG	255	1815	1560	807969	810680	mORF
Chr1	AT1G03310.1	+	ATG	215	2864	2649	813974	816623	mORF
Chr1	AT1G03310.2	+	ATG	238	2887	2649	813974	816623	mORF
Chr1	AT1G03320.1	+	ATG	38	701	663	817026	817767	mORF
Chr1	AT1G03340.1	+	ATG	100	1258	1158	819711	821227	mORF
Chr1	AT1G03360.1	+	ATG	136	1105	969	824652	826179	mORF
Chr1	AT1G03365.1	+	ATG	218	2690	2472	827181	830191	mORF
Chr1	AT1G03365.2	+	ATG	613	3085	2472	827181	830191	mORF
Chr1	AT1G03370.1	+	ATG	418	3481	3063	830967	834996	mORF
Chr1	AT1G03370.2	+	ATG	418	2836	2418	830967	833960	mORF
Chr1	AT1G03380.1	+	ATG	388	3268	2880	836154	840362	mORF
Chr1	AT1G03395.1	+	ATG	61	229	168	841737	842158	mORF
Chr1	AT1G03430.1	+	ATG	366	840	474	848158	849235	mORF
Chr1	AT1G03430.2	+	ATG	366	840	474	848158	849127	mORF
Chr1	AT1G03440.1	+	ATG	530	1724	1194	852680	853874	mORF
Chr1	AT1G03490.1	+	ATG	0	846	846	871873	872906	mORF
Chr1	AT1G03495.1	+	ATG	270	1311	1041	873435	874476	mORF
Chr1	AT1G03540.1	+	ATG	99	1929	1830	883781	885611	mORF
Chr1	AT1G03600.1	+	ATG	436	961	525	898915	899440	mORF
Chr1	AT1G03610.1	+	ATG	572	1499	927	901303	902672	mORF
Chr1	AT1G03610.2	+	ATG	572	1310	738	901303	902406	mORF
Chr1	AT1G03630.1	+	ATG	176	1382	1206	907698	909245	mORF
Chr1	AT1G03630.2	+	ATG	48	1248	1200	907698	909245	mORF
Chr1	AT1G03687.1	+	ATG	23	1169	1146	918307	920306	mORF
Chr1	AT1G03687.2	+	ATG	9	939	930	918307	919999	mORF
Chr1	AT1G03700.1	+	ATG	88	583	495	921037	921844	mORF
Chr1	AT1G03710.1	+	ATG	102	711	609	923491	924287	mORF
Chr1	AT1G03710.2	+	ATG	66	675	609	923491	924287	mORF
Chr1	AT1G03740.1	+	ATG	611	2834	2223	934054	936792	mORF
Chr1	AT1G03740.2	+	ATG	629	2723	2094	934054	936581	mORF
Chr1	AT1G03750.1	+	ATG	94	2683	2589	937919	941068	mORF
Chr1	AT1G03770.1	+	ATG	181	1564	1383	944771	947431	mORF
Chr1	AT1G03770.2	+	ATG	200	1607	1407	944771	947431	mORF
Chr1	AT1G03770.3	+	ATG	195	1584	1389	944771	947431	mORF
Chr1	AT1G03770.4	+	ATG	771	1887	1116	945475	947431	mORF
Chr1	AT1G03770.5	+	ATG	774	1809	1035	945805	947431	mORF
Chr1	AT1G03770.6	+	ATG	190	1306	1116	945475	947431	mORF
Chr1	AT1G03790.1	+	ATG	299	1481	1182	954588	955770	mORF
Chr1	AT1G03810.1	+	ATG	0	432	432	958758	959609	mORF
Chr1	AT1G03880.1	+	ATG	35	1403	1368	985785	987916	mORF
Chr1	AT1G03890.1	+	ATG	52	1408	1356	989249	990908	mORF
Chr1	AT1G03900.1	+	ATG	146	965	819	991251	992852	mORF
Chr1	AT1G03905.1	+	ATG	78	951	873	993477	995594	mORF
Chr1	AT1G03905.2	+	ATG	590	1271	681	994083	995594	mORF
Chr1	AT1G03905.3	+	ATG	516	1197	681	994083	995594	mORF
Chr1	AT1G03905.4	+	ATG	684	1365	681	994083	995594	mORF
Chr1	AT1G03910.1	+	ATG	148	2167	2019	996431	1000231	mORF
Chr1	AT1G03910.2	+	ATG	109	2260	2151	996431	1000231	mORF
Chr1	AT1G03920.1	+	ATG	357	2067	1710	1001472	1004240	mORF
Chr1	AT1G03920.2	+	ATG	623	1994	1371	1001872	1004240	mORF
Chr1	AT1G03920.3	+	ATG	223	1933	1710	1001472	1004240	mORF
Chr1	AT1G03930.1	+	ATG	751	2167	1416	1005438	1008118	mORF
Chr1	AT1G03960.1	+	ATG	433	2023	1590	1014084	1017472	mORF
Chr1	AT1G03960.2	+	ATG	1014	2184	1170	1014823	1017472	mORF
Chr1	AT1G03960.3	+	ATG	949	2119	1170	1014823	1017472	mORF
Chr1	AT1G03960.4	+	ATG	990	2160	1170	1014823	1017472	mORF
Chr1	AT1G03960.5	+	ATG	400	1903	1503	1014084	1017237	mORF
Chr1	AT1G03960.6	+	ATG	480	1884	1404	1014190	1017472	mORF
Chr1	AT1G03960.7	+	ATG	171	1158	987	1015232	1017472	mORF
Chr1	AT1G03970.1	+	ATG	137	950	813	1018236	1019049	mORF
Chr1	AT1G03990.1	+	ATG	107	2384	2277	1024846	1027616	mORF
Chr1	AT1G04020.1	+	ATG	117	2259	2142	1036609	1040045	mORF
Chr1	AT1G04020.2	+	ATG	73	2215	2142	1036609	1040045	mORF
Chr1	AT1G04030.1	+	ATG	222	1527	1305	1040596	1042313	mORF
Chr1	AT1G04030.2	+	ATG	214	1519	1305	1040596	1042313	mORF
Chr1	AT1G04080.1	+	ATG	183	2490	2307	1051802	1056550	mORF
Chr1	AT1G04080.2	+	ATG	418	2167	1749	1053170	1056550	mORF
Chr1	AT1G04080.3	+	ATG	214	2686	2472	1051802	1056550	mORF
Chr1	AT1G04080.4	+	ATG	269	2576	2307	1051802	1056550	mORF
Chr1	AT1G04080.5	+	ATG	337	1987	1650	1053408	1056550	mORF
Chr1	AT1G04090.1	+	ATG	184	1903	1719	1057224	1059247	mORF
Chr1	AT1G04100.1	+	ATG	339	1125	786	1059808	1061026	mORF
Chr1	AT1G04130.1	+	ATG	191	1274	1083	1073464	1075374	mORF
Chr1	AT1G04130.2	+	ATG	235	1027	792	1073834	1075374	mORF
Chr1	AT1G04160.1	+	ATG	325	4828	4503	1086494	1096146	mORF
Chr1	AT1G04160.2	+	ATG	325	4516	4191	1086494	1095595	mORF
Chr1	AT1G04170.1	+	ATG	263	1661	1398	1097422	1099702	mORF
Chr1	AT1G04170.2	+	ATG	429	1827	1398	1097422	1099702	mORF
Chr1	AT1G04180.1	+	ATG	130	1396	1266	1104622	1105988	mORF
Chr1	AT1G04200.1	+	ATG	281	2480	2199	1109675	1113875	mORF
Chr1	AT1G04200.2	+	ATG	281	2174	1893	1109675	1113004	mORF
Chr1	AT1G04200.3	+	ATG	219	2340	2121	1109675	1113576	mORF
Chr1	AT1G04210.1	+	ATG	321	3660	3339	1114695	1119383	mORF
Chr1	AT1G04230.1	+	ATG	61	1039	978	1125575	1127828	mORF
Chr1	AT1G04230.2	+	ATG	58	1033	975	1125575	1127828	mORF
Chr1	AT1G04250.1	+	ATG	304	994	690	1136381	1138340	mORF
Chr1	AT1G04350.1	+	ATG	386	1469	1083	1165295	1166538	mORF
Chr1	AT1G04370.1	+	ATG	144	546	402	1175176	1175578	mORF
Chr1	AT1G04420.1	+	ATG	115	1354	1239	1191633	1193699	mORF
Chr1	AT1G04430.1	+	ATG	443	2315	1872	1198859	1201301	mORF
Chr1	AT1G04430.2	+	ATG	407	2279	1872	1198859	1201301	mORF
Chr1	AT1G04430.3	+	ATG	451	2323	1872	1198859	1201301	mORF
Chr1	AT1G04440.1	+	ATG	655	2062	1407	1202814	1205664	mORF
Chr1	AT1G04445.1	+	ATG	0	519	519	1207343	1207862	mORF
Chr1	AT1G04445.2	+	ATG	578	1103	525	1207337	1207862	mORF
Chr1	AT1G04450.1	+	ATG	221	884	663	1209005	1209853	mORF
Chr1	AT1G04455.1	+	ATG	0	354	354	1210268	1210622	mORF
Chr1	AT1G04480.1	+	ATG	185	608	423	1216109	1217257	mORF
Chr1	AT1G04510.1	+	ATG	266	1838	1572	1226748	1230592	mORF
Chr1	AT1G04510.2	+	ATG	174	1746	1572	1226748	1230592	mORF
Chr1	AT1G04520.1	+	ATG	400	1324	924	1231851	1233787	mORF
Chr1	AT1G04540.1	+	ATG	502	2308	1806	1237255	1239061	mORF
Chr1	AT1G04550.1	+	ATG	207	729	522	1240581	1241375	mORF
Chr1	AT1G04550.2	+	ATG	288	1008	720	1240581	1241810	mORF
Chr1	AT1G04555.1	+	ATG	237	696	459	1242742	1243949	mORF
Chr1	AT1G04560.1	+	ATG	123	684	561	1245069	1245888	mORF
Chr1	AT1G04600.1	+	ATG	361	5554	5193	1262122	1272376	mORF
Chr1	AT1G04610.1	+	ATG	173	1487	1314	1279523	1281331	mORF
Chr1	AT1G04635.1	+	ATG	50	506	456	1291349	1291805	mORF
Chr1	AT1G04640.1	+	ATG	136	844	708	1292540	1293248	mORF
Chr1	AT1G04640.2	+	ATG	431	1139	708	1292540	1293248	mORF
Chr1	AT1G04670.1	+	ATG	156	537	381	1301984	1302532	mORF
Chr1	AT1G04690.1	+	ATG	219	1206	987	1313661	1315420	mORF
Chr1	AT1G04700.1	+	ATG	606	3735	3129	1316918	1320653	mORF
Chr1	AT1G04700.2	+	ATG	424	3553	3129	1316918	1320653	mORF
Chr1	AT1G04700.3	+	ATG	491	3260	2769	1316918	1320026	mORF
Chr1	AT1G04710.1	+	ATG	56	1388	1332	1321940	1324556	mORF
Chr1	AT1G04760.1	+	ATG	227	890	663	1334759	1336070	mORF
Chr1	AT1G04760.2	+	ATG	161	824	663	1334759	1336070	mORF
