tid,boss,start_codon_x,start_codon_y,ORF_range_x,ORF_type_x,start_rprofile_x,ORF_range_y,ORF_type_y,start_rprofile_y,tab,odds_ratio,statistical test,result
ENST00000245304.5,uORF,ATG,ATG,"[261, 345]",uORF,"[119.0, 5.0, 0.0]","[302, 854]",mORF,"[2.0, 0.0, 0.0]","[array([[208,  11,   5],
       [297, 106,  12]]), array([[208,  16],
       [297, 118]])]",5.153927997833812,ChiSquare,"ChiSquareResult(statistic=50.0149759403796, adjusted_pvalue=7.639513586256359e-11, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 6.30803313, -6.43428285, -0.49424603],
       [-6.30803313,  6.43428285,  0.49424603]]), adjusted_posthoc_pvalues=[2.0248865518100107e-09, 2.0248865518100107e-09])"
ENST00000245680.7,uORF,ATG,ATG,"[152, 179]",uORF,"[612.0, 1.0, 0.0]","[233, 1805]",mORF,"[8.0, 0.0, 0.0]","[array([[ 826,    3,    5],
       [1188,   36,  211]]), array([[ 826,    8],
       [1188,  247]])]",21.450546844092063,ChiSquare,"ChiSquareResult(statistic=189.12680762187094, adjusted_pvalue=2.090429460736003e-40, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 11.81866014,  -3.79732366, -11.0371461 ],
       [-11.81866014,   3.79732366,  11.0371461 ]]), adjusted_posthoc_pvalues=[7.731729842356632e-31, 7.731729842356632e-31])"
ENST00000246117.9,uORF,ATG,ATG,"[19, 31]",uORF,"[29.0, 0.0, 0.0]","[101, 1793]",mORF,"[18.0, 25.0, 0.0]","[array([[ 100,    0,    0],
       [5676,  315,   99]]), array([[ 100,    1],
       [5676,  414]])]",7.2927740163941035,ChiSquare,"ChiSquareResult(statistic=13.961838295943302, adjusted_pvalue=0.001963022564226653, adjusted_bootstrap_pvalue=0.01501865671641791, adjusted_residuals=array([[ 2.69912661, -2.33446851, -1.28531618],
       [-2.69912661,  2.33446851,  1.28531618]]), adjusted_posthoc_pvalues=[0.015494182251865413, 0.015494182251865413])"
ENST00000248378.6,uORF,ATG,ATG,"[15, 51]",uORF,"[765.0, 11.0, 0.0]","[137, 470]",mORF,"[164.0, 0.0, 12.0]","[array([[ 797,   11,    6],
       [1235,   23,   72]]), array([[ 797,   17],
       [1235,   95]])]",3.6045972114347036,ChiSquare,"ChiSquareResult(statistic=39.895677558154404, adjusted_pvalue=9.75487182669614e-09, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 5.10445751, -0.67987537, -5.61245251],
       [-5.10445751,  0.67987537,  5.61245251]]), adjusted_posthoc_pvalues=[1.5667618783218075e-06, 1.5667618783218075e-06])"
ENST00000249014.5,uORF,ATG,ATG,"[224, 266]",uORF,"[597.0, 33.0, 15.0]","[387, 1563]",mORF,"[4.0, 3.0, 0.0]","[array([[ 722,   33,   59],
       [1031,  100,   74]]), array([[ 722,   92],
       [1031,  174]])]",1.3242830820124722,ChiSquare,"ChiSquareResult(statistic=15.594266502330672, adjusted_pvalue=0.0009422691171338736, adjusted_bootstrap_pvalue=0.0024390243902439024, adjusted_residuals=array([[ 2.04476231, -3.7715888 ,  0.98368399],
       [-2.04476231,  3.7715888 , -0.98368399]]), adjusted_posthoc_pvalues=[0.07032167884279701, 0.07032167884279701])"
ENST00000249014.5,uORF,ATG,ATG,"[356, 365]",uORF,"[73.0, 0.0, 0.0]","[387, 1563]",mORF,"[4.0, 3.0, 0.0]","[array([[ 124,    4,    2],
       [1031,  100,   74]]), array([[ 124,    6],
       [1031,  174]])]",3.4856606485534405,ChiSquare,"ChiSquareResult(statistic=12.467993473614571, adjusted_pvalue=0.0038927276245876935, adjusted_bootstrap_pvalue=0.03333333333333333, adjusted_residuals=array([[ 3.11592366, -2.11048875, -2.15174616],
       [-3.11592366,  2.11048875,  2.15174616]]), adjusted_posthoc_pvalues=[0.0046705470513074485, 0.0046705470513074485])"
ENST00000252854.8,uORF,ATG,ATG,"[14, 71]",uORF,"[126.0, 0.0, 0.0]","[187, 1591]",mORF,"[14.0, 4.0, 6.0]","[array([[ 135,    4,    0],
       [6280,  250,  338]]), array([[ 135,    4],
       [6280,  588]])]",3.1597002209696505,ChiSquare,"ChiSquareResult(statistic=14.251175789309414, adjusted_pvalue=0.0017223446155818247, adjusted_bootstrap_pvalue=0.020572450805008947, adjusted_residuals=array([[ 2.38541596, -0.4760914 , -2.68093514],
       [-2.38541596,  0.4760914 ,  2.68093514]]), adjusted_posthoc_pvalues=[0.03379636961461741, 0.03379636961461741])"
ENST00000253115.7,uORF,ATG,ATG,"[186, 216]",uORF,"[18.0, 0.0, 2.0]","[282, 1947]",mORF,"[0.0, 0.0, 0.0]","[array([[ 37,   0,   2],
       [265,  62, 100]]), array([[ 37,   2],
       [265, 162]])]",11.27331638203082,ChiSquare,"ChiSquareResult(statistic=23.80864212842556, adjusted_pvalue=2.0651514701286006e-05, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 4.10706913, -2.55573892, -2.64439202],
       [-4.10706913,  2.55573892,  2.64439202]]), adjusted_posthoc_pvalues=[0.0001442309970587588, 0.0001442309970587588])"
ENST00000253122.10,uORF,ATG,ATG,"[416, 464]",uORF,"[21.0, 1.0, 0.0]","[649, 2557]",mORF,"[95.0, 0.0, 0.0]","[array([[ 360,    6,   51],
       [1241,   68,  129]]), array([[ 360,   57],
       [1241,  197]])]",1.0025856520815637,ChiSquare,"ChiSquareResult(statistic=14.241825117417264, adjusted_pvalue=0.0017288063194989551, adjusted_bootstrap_pvalue=0.01694290976058932, adjusted_residuals=array([[ 0.01596111, -3.02245418,  1.97977804],
       [-0.01596111,  3.02245418, -1.97977804]]), adjusted_posthoc_pvalues=[0.9915766213009688, 0.9915766213009688])"
ENST00000254051.11,uORF,ATG,ATG,"[128, 161]",uORF,"[4.0, 0.0, 1.0]","[185, 2333]",mORF,"[1.0, 0.0, 0.0]","[array([[  84,    0,   13],
       [3278,  347,  302]]), array([[  84,   13],
       [3278,  649]])]",1.2792256041857226,ChiSquare,"ChiSquareResult(statistic=20.30555631634099, adjusted_pvalue=0.00010644376180074705, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 0.81998284, -3.06268495,  2.06884515],
       [-0.81998284,  3.06268495, -2.06884515]]), adjusted_posthoc_pvalues=[0.49201844512804377, 0.49201844512804377])"
ENST00000254235.7,uORF,ATG,ATG,"[48, 66]",uORF,"[13.0, 5.0, 0.0]","[268, 3511]",mORF,"[0.0, 0.0, 0.0]","[array([[  72,    5,    3],
       [1300,  115,  302]]), array([[  72,    8],
       [1300,  417]])]",2.8856463684752818,ChiSquare,"ChiSquareResult(statistic=14.436828277491703, adjusted_pvalue=0.0015859049072407716, adjusted_bootstrap_pvalue=0.01878402903811252, adjusted_residuals=array([[ 2.93940827, -0.1568057 , -3.22306331],
       [-2.93940827,  0.1568057 ,  3.22306331]]), adjusted_posthoc_pvalues=[0.007944654001506977, 0.007944654001506977])"
ENST00000254235.7,uORF,ATG,ATG,"[107, 176]",uORF,"[9.0, 0.0, 0.0]","[268, 3511]",mORF,"[0.0, 0.0, 0.0]","[array([[  29,    1,    0],
       [1300,  115,  302]]), array([[  29,    1],
       [1300,  417]])]",9.296156945582034,ChiSquare,"ChiSquareResult(statistic=12.644856616912396, adjusted_pvalue=0.0035911559814959726, adjusted_bootstrap_pvalue=0.026251097453906934, adjusted_residuals=array([[ 2.66681091, -0.73374181, -2.52575651],
       [-2.66681091,  0.73374181,  2.52575651]]), adjusted_posthoc_pvalues=[0.0168055253651482, 0.0168055253651482])"
ENST00000254616.11,uORF,ATG,ATG,"[0, 63]",uORF,"[0.0, 0.0, 0.0]","[16, 328]",mORF,"[20.0, 0.0, 0.0]","[array([[152,  48,  10],
       [807,  75, 314]]), array([[152,  58],
       [807, 389]])]",1.2630533080277826,ChiSquare,"ChiSquareResult(statistic=93.24600798687366, adjusted_pvalue=5.931579520747678e-20, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 1.40810669,  7.84602983, -6.82125316],
       [-1.40810669, -7.84602983,  6.82125316]]), adjusted_posthoc_pvalues=[0.22504846463860112, 0.22504846463860112])"
ENST00000255977.7,uORF,ATG,ATG,"[113, 119]",uORF,"[66.0, 0.0, 0.0]","[161, 1610]",mORF,"[3.0, 0.0, 0.0]","[array([[ 66,   0,   0],
       [996,  77,  57]]), array([[ 66,   1],
       [996, 134]])]",8.87179600819225,ChiSquare,"ChiSquareResult(statistic=16.163751364056505, adjusted_pvalue=0.0007232031449347011, adjusted_bootstrap_pvalue=0.0024390243902439024, adjusted_residuals=array([[ 2.96885151, -2.19244474, -1.8697085 ],
       [-2.96885151,  2.19244474,  1.8697085 ]]), adjusted_posthoc_pvalues=[0.00726748948718819, 0.00726748948718819])"
ENST00000256079.9,uORF,ATG,ATG,"[12, 123]",uORF,"[0.0, 0.0, 0.0]","[222, 3336]",mORF,"[11.0, 0.0, 0.0]","[array([[  44,    0,    2],
       [2480,  357,  280]]), array([[  44,    2],
       [2480,  637]])]",5.6490199458646915,ChiSquare,"ChiSquareResult(statistic=13.188731540080639, adjusted_pvalue=0.0028018921480683734, adjusted_bootstrap_pvalue=0.01694290976058932, adjusted_residuals=array([[ 2.69784576, -2.43697114, -1.09513191],
       [-2.69784576,  2.43697114,  1.09513191]]), adjusted_posthoc_pvalues=[0.015538863928372936, 0.015538863928372936])"
ENST00000256854.10,uORF,ATG,ATG,"[16, 64]",uORF,"[12.0, 0.0, 0.0]","[119, 1766]",mORF,"[0.0, 1.0, 0.0]","[array([[ 234,    6,    6],
       [9894,  404,  864]]), array([[ 234,   12],
       [9894, 1268]])]",2.4989476903230488,ChiSquare,"ChiSquareResult(statistic=14.195408861774368, adjusted_pvalue=0.0017677534608835687, adjusted_bootstrap_pvalue=0.01694290976058932, adjusted_residuals=array([[ 3.1862535 , -0.9838372 , -3.09888399],
       [-3.1862535 ,  0.9838372 ,  3.09888399]]), adjusted_posthoc_pvalues=[0.003784189212813617, 0.003784189212813617])"
ENST00000258149.11,uORF,ATG,ATG,"[70, 115]",uORF,"[220.0, 1.0, 0.0]","[301, 1795]",mORF,"[4.0, 0.0, 0.0]","[array([[ 309,    4,    3],
       [1488,   68,  151]]), array([[ 309,    7],
       [1488,  219]])]",6.493346319477786,ChiSquare,"ChiSquareResult(statistic=43.210162167239275, adjusted_pvalue=1.979772393138024e-09, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 5.50202805, -2.39539273, -4.86218245],
       [-5.50202805,  2.39539273,  4.86218245]]), adjusted_posthoc_pvalues=[2.027062323422018e-07, 2.027062323422018e-07])"
